AREA;UBICACIÓN;MCC;TYPE;TAG  Motor;EQUIPAMENT DESCRIPTION;Manufacture;Model Number;Serial Number;Type2;HP;Power (KW);Voltage (V);Current (A);RPM;Frecuencia;Fase;Rendimiento/Factor de Potencia;Factor Servicio;Nema Nom Eff (Eficiencia Nominal)100%;Guar Min Eff (Eficiencia mínima);Frame;Rodam OOP DRIVE;Rodam DRIVE END;Temp Max Amb;Insul Class Clase de Aislamiento;CODE;Weight / Peso (lb.);Amb;Ope;Lub;Tip
CHANCADO;SALA 100;Media Tensión;A;TAG  Motor;Motor pricncipal Chancadora;TECO;AEZT-WT;MXE12C708-1;AEZT-WT;1340.48;1000;4160;190;590;60;3;NF;1.15;na;NF;560D;NU234;NU238+6238;30;F;NA;11500;L;P;S;G
CHANCADO;SALA 100;Media Tensión;A;TAG  Motor;Motor maestro de la faja 01;SIEMENS;352-4AW90-Z;N-D41384319010002;NF;475.80;355;4160;61;1789;60;3;0.85;NF;NF;NF;1LA4352;6224C3;6220C3VL0241;40;NF;NF;2600;R;P;S;G
CHANCADO;SALA 100;Media Tensión;A;TAG  Motor;Motor esclavo de la faja 01;SIEMENS;352-4AW90-Z;N-D41384319010001;NF;475.80;355;4160;61;1789;60;3;0.85;NF;NF;NF;1LA4352;6224C3;6220C3VL0241;40;NF;NF;2600;R;P;S;G
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor recirculacion ventilador;ELEKTRA;1TZ90020DB222KA4;1909205;IBM14;0.84;0.63;230/460;2.50/1.37;1355/1665;50/60;3;0.78;NF;74.0;NF;80M;6204-2ZC3;6204-2ZC3;40;F;na;10 KG;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor recirculacion ventilador;ELEKTRA;1TZ90020DB222KA4-Z;UD1812/2103558-001-026;NF;0.84;0.63;230/460;2.50/1.37;1385/1685;50/60;3;0.78;NF;74.0;NF;80M;6204-2ZC3;6204-2ZC3;40;F;na;9 KG;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Bomba de recirculacion de aceite;WEG;NF;1592934;NF;1.50;1.2;280/480;5.1 /3.0;940/1140;60;3;0.68;NF;NF;NF;NF;NF;NF;NF;F;NF;NF;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Bomba de recirculacion de aceite;WEG;NF;1592776;NF;1.50;1.2;280/480;4.95 /2.85;940/1140;60;3;0.68;NF;NF;NF;NF;NF;NF;NF;F;NF;NF;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor hidraulico del rompe rocas;TECO;AEHB-UCCO1;9118120005;AEHB-UCCO1;150.00;110;460;165;1779;60;3;NF;1.00;95.6;NF;D280MC;6316;NU318EC;40;F;NA;780 Kg;L;I;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor del ventilador de aceite hidraulico de la cuba de rompe bancos;TECO;AEUB-UCDCC;3125520001;NF;3.00;2.2;460;3.86;1734;60;3;NF;1.00;86.5;NF;D100L;6206ZZ;6305ZZ;40;F;AEUB-UCDCC;38 KG;L;I;na;na
CHANCADO;SALA 100;3100 -  MC - 102;A;TAG  Motor;Motor de desplazamiento del electrodo LRS;TECO;AEHB-UCC2P;3126559020;AEHB-UCC2P;1.00;0.75;240/415;4.3/2.5;695;50;3;NF;NF;73.5;NF;D100L;6206ZZ;6305ZZ;40;F;AEHB-UCC2P;36;L;E;na;na
CHANCADO;SALA 100;3100 -  MC - 102;A;TAG  Motor;Motor de recirculacion de electroclito;WEG;M3C W22;1016258876;M3C W22;0.50;0.37;480;0.683;3390;60;3;0.87;1.00;na;NF;na;6202-ZZ;6202-ZZ;40;H;AEHB-UCC2P;36 Kg;L;E;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor de lubricacion de la araña;BALDOR;34L304W575G1;W1808142360;NF;0.50;0.37;115/230;7.6/3.8/6.2/3.1;1425/1725;50/60;1;0.63;1.00;66;NF;48CZ;6203;6203;40;B;J;NF;R;I;S;G
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor del soplador para el sello de aire del chancador;AIRTECH;3BA1400-7AT26;10017939;NF;2.00;1.5;220/460;5.5/3.2;3380;60;3;NF;1;NF;NF;NF;NF;NF;NF;F;NF;NF;L;P;S;G
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor del ventilador de enfriamiento del sistema de lubricacion del chancador;WEG;NF;146218;NF;10.00;7.5;460;12.9;1175;60;3;0.79;1.25;91;NF;256T;6309-C3;6209-C3;40;F;J;131.9 Kg;R;L;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor del ventilador de enfriamiento del sistema de lubricacion del chancador;WEG;NF;146218;NF;10.00;7.5;460;12.9;1175;60;3;0.79;1.25;91;NF;256T;6309-C3;6209-C3;40;F;J;131.9 Kg;R;I;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor de bomba de lubricacion del chancador;TECO;AEMBVS;MX712C103002;AEMBVS;40.00;30;460;45.7;1775;60;3;NF;1.00;94.1;93.2;200LC;6312;6212;40;F;NF;NF;R;P;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor de bomba de lubricacion del chancador;TECO;AEMBVS;MX712C103001;AEMBVS;40.00;30;460;45.7;1775;60;3;NF;1.00;94.1;93.2;200LC;6312;6212;40;F;NF;NF;R;P;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor de bomba del hidroset de chancado;TECO;AEMBVS;MX412C401002;AEMBVS;7.50;5.5;460;10.1;1175;60;3;NF;1.00;91;89.7;132M;6308ZZ;6306ZZ;40;F;NF;NF;R;I;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor de bomba del hidroset de chancado;TECO;AEMBVS;MX412C401001;AEMBVS;7.50;5.5;460;10.1;1175;60;3;NF;1.00;91;89.7;132M;6308ZZ;6306ZZ;40;F;NF;NF;R;I;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor de compresora de chancado;WEG;NF;1018983008;NA;75.00;55;230/460;168/84.2;1780;60;3;1.10;1.2100;95.4;NF;250S/M-04;6314-C3;6314-C3;46;F;NF;491 KG;L;I;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor del feeder de chancado;TECO;AFLE-WR;C12C654-1;AFLE-WR;549.45;300;460;437;1785;60;3;NF;1;96.8;NF;D315DB;6220-C3VL0241/6220;6220-C3VL0241/6220;20;F;NF;2230 Kg;R;I;S;G
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor ventilación forzada de belt Feeder ;TECO;AEUH-XW301;212B410001;AEUH-XW301;2.00;1.5;220/460;5.33/3.17;1730;50/60;3;NF;1.15;86.5;83.8;145TDZ;6206ZZ;6205ZZ;40;F;NF;NF;R;I;S;G
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor de bomba booster de chancado;WEG;TE1BF0X0;1019467413;TE1BF0X0;30.00;22;460;35.2;1770;60;3;0.84;1.15;93;NA;200M;6312-C3;6212-C3;40;F;NF;209;R;I;S;G
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor Stockpile feed conveyor brake.;EMG;NF;NF;NF;0.50;0.4;460;0.6;0;60;na;na;na;na;na;1258-6IL;na;na;na;na;na;na;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Motor Stockpile feed conveyor brake.;EMG;NF;NF;NF;0.50;0.4;460;0.6;0;60;na;na;na;na;na;1258-6IL;na;na;na;na;na;na;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;Grua para mantto de unidad chancado.;na;na;na;na;10.05;7.5;460;16.30;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;CRUSHING AREA SEDIMENT POND PUMP;na;na;na;na;60.32;45;460;97.83;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;CRUSHING AREA SEDIMENT POND PUMP;na;na;na;na;60.32;45;460;97.83;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;CRUSHER LUBE DRUM MAINTENANCE HOIST;na;na;na;na;1.47;1.1;460;2.39;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
CHANCADO;SALA 100;3100 -  MC - 102;B;TAG  Motor;PRIMARY CRUSHER OVERHEAD CRANE;na;na;na;na;147.45;110;460;239.13;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor del extractor del tunel de reclamo de mineral;NF;AX-160-400-0623-X;NF;NF;20.00;15;460;30;870;60;3;NF;1.15;NF;NF;NF;NF;NF;NF;NF;NF;NF;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor reclaim feeder 02;TECO;NF;C12C653-4;AFJE  WR;248.00;185;460;279;1785;60;3;NF;1.00;96.6;NF;D315CB;6220-C3;6220;20;F;NF;1670 Kg;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor reclaim feeder 03;TECO;NF;C12C653-3;AFJE  WR;248.00;185;460;279;1785;60;3;NF;1.00;96.6;NF;D315CB;6220-C3;6220;20;F;NF;1670 Kg;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor reclaim feeder 04;TECO;NF;C12C653-1;AFJE  WR;248.00;185;460;279;1785;60;3;NF;1.00;96.6;NF;D315CB;6220-C3;6220;20;F;NF;1670 Kg;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor reclaim feeder 05;TECO;NF;C12C653-2;NF;248.00;185;460;279;1785;60;3;NF;1.00;96.6;NF;D315CB;6220-C3;6220;20;F;NF;1670 Kg;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor alimentador de bolas de faja 02;TECO;AEUB-UCDCC;412B412004;NF;7.50;5.5;460;9.65;1758;60;3;NF;1.00;91;NF;D132M;6308ZZ;6306ZZ;40;F;NF;87 kg;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor de ventilacion forzada del motor alimentador de bolas faja 02;ELECTRIC MOTOR Y TRANS;270/315;298388181;FA25-9-C;0.30;250;460;0.65;NF;60;3;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor alimentador de bolas de faja 03;TECO;AEUB-UCDCC;4129417013;NF;7.50;5.5;460;9.65;1785;60;3;NF;na;91;na;D132M;6308ZZ;6306ZZ;40;F;NF;87 Kg;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor de ventilacion forzada del motor alimentador de bolas faja 03;ELECTRIC MOTOR Y TRANS;270/315;298388181;FA25-9-C;0.30;250;460;0.65;NF;60;3;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor ;TOSHIBA;TSH01;250828D7;D132MD;10.00;7.5;460;12.89;1740;60;3;0.8;NF;NF;NF;D132MD;6308-ZZ;6208-ZZ;40;F;NF;88 Kg;na;na;na;na
RECLAIM;SALA 150;3210 - MC - 151;B;TAG  Motor;Motor;TOSHIBA;TSH01;S125092825;D132MD;10.00;7.5;460;12.89;1740;60;3;0.8;NF;NF;NF;D132MD;6308-ZZ;6208-ZZ;40;F;NF;88 Kg;na;na;na;na
MOLIENDA LINEA 1;SALA 200;Media Tensión;A;TAG  Motor;Motor molino SAG 1;TECO;AEZH-S2;LX E12B852-2;AEZH-S2;10723.86;8000;13800;408;896;60;3;0.84;1.00;97.0;95.1;1120;RENK 22-225;22-250;30;F;NF;57200 Kg;R;P;S;O
MOLIENDA LINEA 1;SALA 200;Media Tensión;A;TAG  Motor;Motor molino SAG 1;TECO;AEZH-S2;JXE129852-1;AEZH-S2;10723.86;8000;13800;408;896;60;3;0.84;1.00;97.0;95.1;1120;RENK 22-225;22-250;30;F;NF;57200 Kg;R;P;S;O
MOLIENDA LINEA 1;SALA 200;Media Tensión;A;TAG  Motor;Motor molino BALL 2;TECO;AEZH-S2;MXE12C851-1;AEZH-S2;10723.86;8000;13800;408;896;60;3;0.84;1.00;97.0;95.1;1120;RENK 22-225;22-250;30;F;NF;57200 Kg;R;P;S;O
MOLIENDA LINEA 1;SALA 200;Media Tensión;A;TAG  Motor;Motor molino BALL 2;TECO;AEZH-S2;LXE12B852-2;AEZH-S2;10723.86;8000;13800;408;896;60;3;0.84;1.00;97.0;95.1;1120;RENK 22-225;22-250;30;F;NF;57200 Kg;R;P;S;O
MOLIENDA LINEA 1;SALA 200;Media Tensión;A;TAG  Motor;Motor de bomba de alimentacion a hidrociclones primarios;TECO;AECK-WT;E12B857-2;AECK-WT;2801.61;2090;4160;443;292;60;3;NF;1;NF;NF;1250L;NU248;NU256+6056;30;F;NF;44500 KG;R;P;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;A;TAG  Motor;Motor de desplazamiento del electrodo LRS SAG 1;TECO;AEHB-UCC2P;3126559023;NF;1.01;0.75;240/415;4.3/2.5;695;50;3;NF;NF;73.5;NF;D100L;6206ZZ;6305ZZ;40;F;NF;36 Kg;L;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;A;TAG  Motor;Motor de desplazamiento del electrodo LRS SAG 1;TECO;AEHB-UCC2P;3126559025;NF;1.01;0.75;240/415;4.3/2.5;695;50;3;NF;NF;73.5;NF;D100L;6206ZZ;6305ZZ;40;F;NF;36 Kg;L;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;A;TAG  Motor;Motor de recirculacion de electroclito LRS SAG 1;WEG;M194 W 22;1012228497;NF;5.4/6.4;4.0/4.8;380/460;8.18/8.09;1445/1745;50/60;3;0.83/0.82;1.15;NF;NF;112M;6207-ZZ;6206-ZZ;40;F;NF;49 Kg;L;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;A;TAG  Motor;Motor de desplazamiento del electrodo LRS BALL 2;TECO;AEHB-UCC2P;3126559027;NF;1.01;0.75;240/415;4.3/2.5;695;50;3;NF;NF;73.5;NF;D100L;6206ZZ;6305ZZ;40;F;NF;36 Kg;L;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;A;TAG  Motor;Motor de desplazamiento del electrodo LRS SAG 2;TECO;AEHB-UCC2P;3126559030;NF;1.01;0.75;240/415;4.3/2.5;695;50;3;NF;NF;73.5;NF;D100L;6206ZZ;6305ZZ;40;F;NF;36 Kg;L;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;A;TAG  Motor;Motor de recirculacion de electroclito LRS BALL 2;WEG;M194 W 22;1012228501;NF;5.4/6.4;4.0/4.8;380/460;8.18/8.09;1445/1745;50/60;3;0.83/0.82;1.15;NF;NF;112M;6207-ZZ;6206-ZZ;40;F;NF;49 Kg;L;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;A;TAG  Motor;Motor de la faja 02 / SAG MILL FEED CONVEYOR;SIEMENS;317-4PB90Z;N-D41384319010001;NF;268.00;200;460;315;1792;60;3;0.84;1.15;NF;NF;na;6218C3;6218C3VL0241;40;NF;NF;1500KG;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;Motor del freno de la faja 02 / SAG MILL FEED CONVEYOR BRAKE;EMG;203265;203265;NF;0.40;0.3;460;0.5;33.33;60;3;NF;NF;NF;NF;800-60 II;NF;NF;40;NF;D39387;19 KG;L;I;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;Motor del alimentador pebles / PEBBLE CONVEYOR;SIEMENS;1LA52204AA90-Z;1LA52204AA90-Z;NF;57.00;42.5;460;67;1770;60;3;0.87;NF;91.2;NF;na;NF;NF;40;F;NF;206;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;Motor del alimentador pebles / PEBBLE TRANSFER CONVEYOR;SIEMENS;NF;NF;NF;14.70;11;460;17.9;1765;60;3;0.85;NF;91.0;NF;na;NF;NF;NF;NF;NF;NF;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;PEBBLE CONVEYOR BREAK;EMG;800-60-II;203266;NF;0.40;0.3;460;0.5;NF;60;3;NF;NF;NF;NF;NF;NF;NF;40;NF;NF;19 Kg;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;SAG MILL INCHING DRIVE ;TECO;AEJE-P;C12C666-1;AEJE-A;308.00;230;460;340;1785;60;3;0.88;1.15;95.8;NF;315CB;6320;6320;30;F;NF;1720 Kg;R;E;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;INCHING DRIVE  SAG  BRAKE;ATV;NF;NF;TH 4 2012;67.02;50;230/400;1.2/0.7;NF;50;3;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;21 Kg;R;E;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;BALL MILL INCHING DRIVE ;TECO;AEJE-P;C12C666-4;AEJE-PA;308.00;230;460;340;1785;60;3;0.88;1.15;95.8;NF;315CB;6320;6320;30;F;NF;1720 Kg;R;E;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;INCHING  DRIVE BALL BRAKE ;ATV;NF;NF;TH 4 2012;67.02;50;230/400;1.2/0.7;NF;50;3;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;21 Kg;R;E;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;GRINDING AREA CRANE 80 A (FLC);na;na;na;na;53.62;40;460;86.96;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;BALL MILL BOLT HAMMER 22,37 KW 160 A (FLC);na;na;na;na;29.99;22.37;460;48.63;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL CONTROL POWER  15 KW 2A (FLC);na;na;na;na;0.00;0;460;0.00;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL FEED CHUTE TRANSPORT CART 22 KW;na;na;na;na;0.00;0;460;0.00;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;BALL MILL BALL FEEDER;na;na;na;na;10.05;7.5;460;16.30;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;Motor de bomba de sumidero de drive in;TECO;AEMB-UCB05;912C105001;AEMB-UCB05;125.00;90;460;137;1785;60;3;NF;1;94.9;NF;D280MC;NU318ECP;6316;40;F;NF;755 KG;S;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;Motor de bomba de sumidero de area de molienda;TECO;AEMB-UCDCM;712B509001;AEMB-UCDCM;40.00;30;460;46.6;1780;60;3;NF;1;94.0;NF;D225SC;6313;6213;40;F;AEMB-UCDCM;357 KG;S;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;A;TAG  Motor;COOLING WATER RECIRCULATION PUMP ;WEG;TE1BFOXO#;1027668053;NF;150.00;110;460;173;1790;60;3;0.84;1.15;95.2;NF;315S/M;NU-319-C3;6316-C3;20;F;NF;980 Kg;R;P;S;G
MOLIENDA LINEA 1;SALA 255;3220-MC-205-01;B;TAG  Motor;EVAPORATIVE COOLER SPRAY PUMP ;Marathon electric;MVK213TTFN16835AAL;M60013962-09/26-01;TFS;7.50;5.6;230/460;19.2/9.6;1770;60;3;0.8;1.00;91.7;NF;213JM;6309;6208;40;F;H;NF;R;I;na;na
MOLIENDA LINEA 1;SALA 255;3220-MC-205-02;B;TAG  Motor;EVAPORATIVE COOLER SPRAY PUMP ;Marathon electric;MVK213TTFN16835AAL;M60013962-09/26-03;TFS;7.50;5.6;230/460;19.2/9.6;1770;60;3;0.8;1.00;91.7;NF;213JM;6309;6208;40;F;H;NF;R;I;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL LOW PRESURE PUMP 1  ;WEG;PE18F0X0;1016465551;NF;49.60;37;460V;58.4;1775;60;3;0.85;1.15;93.6;NF;225S/M-04;6314-C3;6314-C3;20;F;NF;389 Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;SAG MILL LOW PRESSURE PUMP 2 ;WEG;DG1BF0X0;1016465555;NF;49.60;37;460V;58.4;1775;60;3;0.85;1.15;93.6;NF;225S/M-04;6314-C3;6314-C3;20;F;NF;389 Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL HIGH PRESSURE PUMP 1 ;WEG;DG1BF0X0;1016465545;NF;147.40;110;460V;172;1790;60;3;0.84;1.15;95.4;NF;315S/M-04;NU319-C3;6316-C3;20;F;NF;1148Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;SAG MILL HIGH PRESSURE PUMP 2  ;WEG;DG1BF0X0;1016465548;NF;147.40;110;460V;172;1790;60;3;0.84;1.15;95.4;NF;315S/M-04;NU319-C3;6316-C3;20;F;NF;1148Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL HIGH PRESSURE PUMP 3 ;WEG;DG1BF0X0;1016465541;NF;147.40;110;460V;172;1790;60;3;0.84;1.15;95.4;NF;315S/M-04;NU319-C3;6316-C3;20;F;NF;1148Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;SAG MILL REDUCER LUBRICATION PUMP 1 ;WEG;TE1BFOXO#;1016870847;NF;10.00;7.5;460;12.3;1760;60;3;0.84;1.15;91.0;NF;132M-04;6308 - ZZ;6207-ZZ;20;F;NF;75Kg;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL REDUCER LUBRICATION PUMP 2 ;WEG;TE1BFOXO#;1016870839;NF;10.00;7.5;460;12.3;1760;60;3;0.84;1.15;91.0;NF;132M-04;6308 - ZZ;6207-ZZ;20;F;NF;75Kg;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;SAG MILL REDUCER LUBRICATION PUMP 3 ;WEG;TE1BFOXO#;1016870846;NF;10.00;7.5;460;12.3;1760;60;3;0.84;1.15;91.0;NF;132M-04;6308 - ZZ;6207-ZZ;20;F;NF;75Kg;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL BEARING LUBRICATION PUMP 1 ;WEG;TE1BFOXO#;1016860893;NF;5.00;3.7;460V;6.6;1750;60;3;0.8;1.15;88;NF;112M-04;6207-ZZ;6206-ZZ;20;F;NF;46 Kg;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;SAG MILL BEARING LUBRICATION PUMP 2 ;WEG;TE1BFOXO#;1016860896;NF;5.00;3.7;460V;6.6;1750;60;3;0.8;1.15;88;NF;112M-04;6207-ZZ;6206-ZZ;20;F;NF;46 Kg;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL MAIN MOTOR BEARING PUMP 1 ;WEG;TE1BFOXO#;1017365792;NF;5.00;3.7;460V;6.6;1750;60;3;0.8;1.15;0.88;NF;112M-04;6207-ZZ;6206-ZZ;20;F;NF;46 Kg;R;I;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;SAG MILL MAIN MOTOR BEARING PUMP 2 ;WEG;TE1BFOXO#;1017365796;NF;5.00;3.7;460V;6.6;1750;60;3;0.8;1.15;0.88;NF;112M-04;6207-ZZ;6206-ZZ;20;F;NF;46 Kg;R;I;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;SAG MILL MOTOR LIFT OIL PUMP ;WEG;TE1BFOXO#;1017452546;NF;3.00;2.24;460V;4.71;1165;60;3;NF;1.15;87.5;NF;132S;6308 - ZZ;6207 ZZ;20;F;K;NF;R;I;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;BALL MILL LOW PRESSURE PUMP 1 ;WEG;PE18F0X0;1016465549;NF;49.60;37;460V;58.4;1775;60;3;0.85;1.15;93.6;NF;225S/M-04;6314-C3;6314-C3;20;F;NF;389 Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;BALL MILL LOW PRESSURE PUMP 2 ;WEG;PE18F0X0;1016465548;NF;49.60;37;460V;58.4;1775;60;3;0.85;1.15;93.6;NF;225S/M-04;6314-C3;6314-C3;20;F;NF;389 Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;BALL MILL HIGH PRESSURE PUMP 1 - ;WEG;DG1BF0X0;1016465538;NF;147.40;110;460V;172;1790;60;3;0.84;1.15;95.4;NF;315S/M-04;NU319-C3;6316-C3;20;F;NF;1148Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;BALL MILL HIGH PRESSURE PUMP 2 ;WEG;DG1BF0X0;1016465543;NF;147.40;110;460V;172;1790;60;3;0.84;1.15;95.4;NF;315S/M-04;NU319-C3;6316-C3;20;F;NF;1148Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;BALL MILL HIGH PRESSURE PUMP 3 ;WEG;DG1BF0X0;1016465542;NF;147.40;110;460V;172;1790;60;3;0.84;1.15;95.4;NF;315S/M-04;NU319-C3;6316-C3;20;F;NF;1148Kg;R;I;S;G
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;BALL MILL REDUCER LUBRICATION PUMP 1 ;WEG;DG1BF0X0;1016870842;NF;10.00;7.5;460;12.3;1760;60;3;0.84;1.15;91.0;NF;132M-04;6308 - ZZ;6207-ZZ;20;F;NF;75Kg;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-02;B;TAG  Motor;BALL MILL REDUCER LUBRICATION PUMP 2 ;WEG;DG1BF0X0;1016870841;NF;10.00;7.5;460;12.3;1760;60;3;0.84;1.15;91.0;NF;132M-04;6308 - ZZ;6207-ZZ;20;F;NF;75Kg;R;P;na;na
MOLIENDA LINEA 1;SALA 205;3220-MC-205-01;B;TAG  Motor;BALL MILL REDUCER LUBRICATION PUMP 3 ;WEG;DG1BF0X0;1016870840;NF;10.00;7.5;460;12.3;1760;60;3;0.84;1.15;91.0;NF;132M-04;6308 - ZZ;6207-ZZ;20;F;NF;75Kg;R;P;na;na
